,OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,PropertyName,CouncilDistrictCode,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kWh),Electricity(kBtu),NaturalGas(therms),NaturalGas(kBtu),TotalGHGEmissions,GHGEmissionsIntensity,DefaultData,ComplianceStatus,ZipCode,Latitude,Longitude,Address,City,State,energy_grad,full_address
5,10,2015,NonResidential,Hotel,CAMLIN WORLDMARK HOTEL,7,DOWNTOWN,1926,1.0,11.0,83008,0,83008,HOTEL,Hotel,81352.0,25.0,76.9,79.6,149.5,158.2,6252842.0,6477493.0,0.0,785342.0,2679698.0,35733.0,3573255.0,208.46,2.37,No,Compliant,18081.0,47.6139,-122.33274086,1619 9TH AVE,SEATTLE,WA,C,"1619 9TH AVE,SEATTLE,WA"
1617,10,2016,NonResidential,Hotel,Camlin,7,DOWNTOWN,1926,1.0,11.0,83008,0,83008,HOTEL,Hotel,81352.0,27.0,70.80000305,74.5,146.6,154.7,5758795.0,6062767.5,0.0,823919.875,2811215.0,29475.80078,2947580.0,176.14,2.12,False,Compliant,98101.0,47.6139,-122.33283,1619 9th Avenue,Seattle,WA,C,"1619 9th Avenue,Seattle,WA"
6,11,2015,NonResidential,Other,PARAMOUNT THEATER,7,DOWNTOWN,1926,1.0,8.0,102761,0,102761,OTHER - ENTERTAINMENT/PUBLIC ASSEMBLY,Other - Entertainment/Public Assembly,102761.0,,62.5,71.8,152.2,160.4,6426022.0,7380086.0,2003108.0,1203937.0,4108004.0,3151.0,315079.0,199.99,1.77,No,Compliant,18081.0,47.61327,-122.33130949,901 PINE ST,SEATTLE,WA,NC,"901 PINE ST,SEATTLE,WA"
1618,11,2016,NonResidential,Other,Paramount Theatre,7,DOWNTOWN,1926,1.0,8.0,102761,0,102761,OTHER - ENTERTAINMENT/PUBLIC ASSEMBLY,Other - Entertainment/Public Assembly,102761.0,,61.29999924,68.80000305,141.7,152.3,6298131.5,7067881.5,2276286.5,1065842.75,3636655.0,3851.890137,385189.0,221.51,2.16,False,Compliant,98101.0,47.61327,-122.33136,911 Pine St,Seattle,WA,NC,"911 Pine St,Seattle,WA"
7,12,2015,NonResidential,Hotel,COURTYARD BY MARRIOTT - ALASKA BLDG SEATTLE,7,DOWNTOWN,1904,1.0,15.0,163984,0,163984,HOTEL,Hotel,163984.0,46.0,77.0,82.9,174.6,186.8,12633744.0,13589025.0,0.0,2155728.0,7355649.0,52784.0,5278400.0,331.61,1.83,No,Compliant,18379.0,47.602940000000004,-122.33255325,612 2ND AVE,SEATTLE,WA,B,"612 2ND AVE,SEATTLE,WA"
1619,12,2016,NonResidential,Hotel,311wh-Pioneer Square,7,DOWNTOWN,1904,1.0,15.0,163984,0,163984,HOTEL,Hotel,163984.0,43.0,83.69999695,86.59999847,180.9,187.2,13723820.0,14194054.0,0.0,2138897.75,7297919.0,64259.0,6425900.0,392.16,2.39,False,Compliant,98104.0,47.602940000000004,-122.33263000000001,612 2nd Ave,Seattle,WA,B,"612 2nd Ave,Seattle,WA"
8,15,2015,NonResidential,Hotel,HOTEL MONACO,7,DOWNTOWN,1969,1.0,11.0,153163,19279,133884,HOTEL,,,48.0,101.1,107.2,200.8,205.2,14719853.0,15615929.0,3623542.0,1857347.0,6337531.0,47590.0,4759044.0,576.63,3.59,No,Compliant,18081.0,47.60695,-122.33431932,1101 4TH AVE,SEATTLE,WA,B,"1101 4TH AVE,SEATTLE,WA"
1620,15,2016,NonResidential,Hotel,Hotel Monaco Seattle,7,DOWNTOWN,1969,1.0,11.0,153163,19279,133884,HOTEL,Hotel,133884.0,30.0,119.59999850000001,124.3000031,228.2,233.0,16016644.0,16646930.0,5237165.5,1813489.875,6187627.0,45918.5,4591850.0,691.26,4.51,False,Compliant,98101.0,47.60695,-122.33413999999999,1101 4th Avenue,Seattle,WA,C,"1101 4th Avenue,Seattle,WA"
9,16,2015,NonResidential,Hotel,W SEATTLE HOTEL,7,DOWNTOWN,1998,1.0,25.0,333176,61161,272015,HOTEL,Hotel,336640.0,32.0,82.3,83.1,207.2,208.0,27717026.0,27970822.0,5426396.0,5585560.0,19058722.0,32327.0,3232700.0,723.4,1.93,No,Compliant,18081.0,47.60713,-122.33347215,1112 4TH AVE,SEATTLE,WA,C,"1112 4TH AVE,SEATTLE,WA"
1621,16,2016,NonResidential,Hotel,5679-W Seattle,7,DOWNTOWN,1998,1.0,25.0,333176,61161,272015,HOTEL,Hotel,336640.0,36.0,80.0,80.40000153,199.0,199.4,26941110.0,27070114.0,5999360.5,5299838.5,18083049.0,28586.99805,2858700.0,740.97,2.22,False,Compliant,98101.0,47.60713,-122.33323,1112 Fourth Avenue,Seattle,WA,C,"1112 Fourth Avenue,Seattle,WA"
10,17,2015,NonResidential,Hotel,EXECUTIVE PACIFIC PLAZA,7,DOWNTOWN,1928,1.0,9.0,65009,0,65009,HOTEL,Hotel,65009.0,39.0,104.7,96.8,166.5,158.2,6807227.0,6292213.0,1987163.0,473326.0,1615057.0,32051.0,3205074.0,334.87,5.04,No,Compliant,18081.0,47.60699,-122.33310536,400 SPRING ST,SEATTLE,WA,C,"400 SPRING ST,SEATTLE,WA"
1622,17,2016,NonResidential,Hotel,Executive Pacific Plaza,7,DOWNTOWN,1928,1.0,9.0,65009,0,65009,HOTEL,Hotel,65009.0,48.0,101.5,97.80000305,153.6,149.8,6596057.5,6358719.5,1656352.5,393610.6875,1343000.0,35967.05078,3596705.0,328.23,5.05,False,Compliant,98104.0,47.60699,-122.33346,400 Spring Street,Seattle,WA,B,"400 Spring Street,Seattle,WA"
11,18,2015,NonResidential,Hotel,CROWNE PLAZA,7,DOWNTOWN,1980,1.0,33.0,315952,57600,258352,"HOTEL, PARKING",Hotel,295511.0,56.0,77.2,77.2,183.2,183.2,22811690.0,22811690.0,4731090.0,4129637.0,14090906.0,39903.0,3990280.0,675.34,1.95,Yes,Compliant,18081.0,47.608090000000004,-122.33211517,1113 6TH AVE,SEATTLE,WA,B,"1113 6TH AVE,SEATTLE,WA"
1623,18,2016,NonResidential,Hotel,Crowne Plaza Hotel Seattle,7,DOWNTOWN,1980,1.0,33.0,315952,57600,258352,"HOTEL, PARKING",Hotel,295511.0,58.0,75.5,76.19999695,179.9,180.7,22325364.0,22524948.0,4337738.5,4075083.0,13904183.0,40834.39844,4083440.0,648.62,2.05,False,Compliant,98101.0,47.608090000000004,-122.33211999999999,1113 6th Ave,Seattle,WA,B,"1113 6th Ave,Seattle,WA"
12,19,2015,NonResidential,Hotel,HOTEL VINTAGE PARK,7,DOWNTOWN,1922,1.0,11.0,67390,0,67390,HOTEL,,,14.0,166.1,175.7,317.4,326.0,10711451.0,11329230.0,4403788.0,1198487.0,4089407.0,22184.0,2218425.0,486.25,6.95,No,Compliant,18081.0,47.60755,-122.3323288,1100 5TH AVE,SEATTLE,WA,D,"1100 5TH AVE,SEATTLE,WA"
1624,19,2016,NonResidential,Hotel,Hotel Vintage Seattle,7,DOWNTOWN,1922,1.0,11.0,92190,25200,66990,"HOTEL, PARKING",Hotel,67390.0,35.0,159.5,165.8999939,297.4,303.9,10750010.0,11179203.0,4870847.5,1123203.125,3832369.0,20467.93359,2046793.0,511.39,5.55,False,Compliant,98101.0,47.60755,-122.33243999999999,1100 5th Avenue,Seattle,WA,C,"1100 5th Avenue,Seattle,WA"
13,21,2015,Nonresidential COS,Other,SEATTLE CENTRAL LIBRARY,7,DOWNTOWN,2004,1.0,11.0,412000,57000,355000,"DATA CENTER, LIBRARY, PARKING",Library,364913.0,,46.0,45.3,140.8,137.6,16849234.0,16594622.0,703184.0,4732136.0,16146718.0,0.0,0.0,166.84,0.24,No,Compliant,18379.0,47.60649,-122.33226425,1000 4TH AVE,SEATTLE,WA,NC,"1000 4TH AVE,SEATTLE,WA"
1625,21,2016,Nonresidential COS,Other,The Seattle Public Library - Central Library,7,DOWNTOWN,2004,1.0,11.0,412000,57000,355000,"DATA CENTER, LIBRARY, PARKING",Library,364913.0,,50.79999924,51.09999847,155.6,156.0,18588860.0,18706912.0,737559.5,5231916.0,17851297.0,0.0,0.0,181.38,0.44,False,Compliant,98154.0,47.60649,-122.33296999999999,1000 Fourth Avenue,Seattle,WA,NC,"1000 Fourth Avenue,Seattle,WA"
14,22,2015,NonResidential,Other,DOWNTOWN SEATTLE YMCA,7,DOWNTOWN,1930,1.0,6.0,103911,0,103911,"FITNESS CENTER/HEALTH CLUB/GYM, OFFICE, SWIMMING POOL",Fitness Center/Health Club/Gym,90000.0,,79.5,83.4,173.7,178.4,10340282.0,10843936.0,4398022.0,1549824.0,5288219.0,6543.0,654260.0,411.09,3.74,No,Compliant,18379.0,47.60546,-122.33280182,909 4TH AVE,SEATTLE,WA,NC,"909 4TH AVE,SEATTLE,WA"
1626,22,2016,NonResidential,Other,Downtown Seattle YMCA,7,DOWNTOWN,1930,1.0,6.0,103911,0,103911,"FITNESS CENTER/HEALTH CLUB/GYM, OFFICE, SWIMMING POOL",Fitness Center/Health Club/Gym,90000.0,,76.59999847,78.40000153,157.4,159.6,9956396.0,10192124.0,4592347.5,1305354.125,4453868.0,9101.799805,910180.0,433.86,4.18,False,Compliant,98104.0,47.60546,-122.33278999999999,909 4th Avenue,Seattle,WA,NC,"909 4th Avenue,Seattle,WA"
15,23,2015,NonResidential,Hotel,RENAISSANCE MADISON HOTEL,7,DOWNTOWN,1983,1.0,28.0,416281,85000,331281,"HOTEL, PARKING",Hotel,348329.0,30.0,95.5,97.4,231.9,234.7,33270518.0,33922016.0,0.0,6427712.0,21932264.0,113392.0,11339166.0,755.12,1.59,No,Compliant,18379.0,47.606809999999996,-122.33063632,515 MADISON ST,SEATTLE,WA,C,"515 MADISON ST,SEATTLE,WA"
1627,23,2016,NonResidential,Hotel,Renaissance Seattle Hotel,7,DOWNTOWN,1983,1.0,28.0,416281,85000,331281,"HOTEL, PARKING",Hotel,348329.0,31.0,96.30000305,98.59999847,228.5,232.8,33556756.0,34351920.0,0.0,6220773.0,21225277.0,123314.75,12331475.0,802.89,1.93,False,Compliant,98104.0,47.606809999999996,-122.33078,515 Madison Street,Seattle,WA,C,"515 Madison Street,Seattle,WA"
16,24,2015,NonResidential,Store,RAINIER CLUB (HISTORICAL LANDMARK),7,DOWNTOWN,1907,1.0,5.0,57452,0,57452,"OFFICE, OTHER, OTHER - LODGING/RESIDENTIAL, RESTAURANT, SOCIAL/MEETING HALL",Social/Meeting Hall,16442.0,,130.2,140.2,278.7,290.2,7481768.0,8052425.0,1755365.0,1106043.0,3773975.0,19526.0,1952583.0,265.5,4.34,No,Compliant,18379.0,47.60515,-122.33163032,810 4TH AVE,SEATTLE,WA,NC,"810 4TH AVE,SEATTLE,WA"
1628,24,2016,NonResidential,Store,The Rainier Club,7,DOWNTOWN,1907,1.0,5.0,57452,0,57452,"OFFICE, OTHER, OTHER - LODGING/RESIDENTIAL, RESTAURANT, SOCIAL/MEETING HALL",Social/Meeting Hall,16442.0,,132.3999939,137.1000061,280.7,285.0,7606084.5,7877219.0,1776201.875,1103397.125,3764791.0,20650.91211,2065091.0,273.02,4.75,False,Compliant,98104.0,47.60515,-122.33158999999999,820 4th Ave.,Seattle,WA,NC,"820 4th Ave.,Seattle,WA"
17,25,2015,NonResidential,Hotel,DOUBLE TREE ARCTIC CLUB HOTEL - SEATTLE,7,DOWNTOWN,1916,1.0,10.0,104352,0,104352,HOTEL,,,83.0,75.2,74.9,119.5,118.6,7845112.0,7816594.0,3205497.0,524792.0,1790665.0,28490.0,2849024.0,411.22,3.87,No,Compliant,18379.0,47.60376,-122.3320576,700 3RD AVE,SEATTLE,WA,A+,"700 3RD AVE,SEATTLE,WA"
1629,25,2016,NonResidential,Hotel,Arctic Club Seattle,7,DOWNTOWN,1916,1.0,10.0,104352,0,104352,HOTEL,Hotel,104352.0,39.0,97.30000305,97.30000305,225.5,225.5,10154608.0,10154608.0,3430862.0,1731644.125,5908370.0,8153.759765999999,815376.0,349.32,3.35,False,Compliant,98104.0,47.60376,-122.33193999999999,700 3rd Ave,Seattle,WA,C,"700 3rd Ave,Seattle,WA"
18,26,2015,NonResidential,Other,KING COUNTY COURTHOUSE,7,DOWNTOWN,1916,1.0,10.0,540360,0,540360,COURTHOUSE,Courthouse,537150.0,67.0,99.3,103.1,208.5,210.4,53332648.0,55378956.0,0.0,7853984.0,26798906.0,265349.0,26534856.0,1596.08,2.74,No,Compliant,18379.0,47.60265,-122.33052826,516 3RD AVE,SEATTLE,WA,A,"516 3RD AVE,SEATTLE,WA"
1630,26,2016,NonResidential,Other,King County Courthouse,7,DOWNTOWN,1916,1.0,10.0,540360,0,540360,COURTHOUSE,Courthouse,537150.0,76.0,83.69999695,87.5,182.7,186.7,44984468.0,47023088.0,0.0,7138872.5,24357833.0,206266.3125,20626631.0,1265.29,2.34,False,Compliant,98104.0,47.60265,-122.33051,516 3RD AVE,Seattle,WA,A,"516 3RD AVE,Seattle,WA"
19,27,2015,NonResidential,Other,KING COUNTY CORRECTIONAL FACILITY,3,DOWNTOWN,1985,1.0,19.0,385274,0,385274,OTHER,Other,385274.0,,132.1,136.1,245.5,243.9,50899248.0,52435544.0,0.0,5766838.0,19677268.0,312228.0,31222797.0,1795.42,4.44,No,Compliant,18379.0,47.60378,-122.32830048,500 5TH AVE,SEATTLE,WA,NC,"500 5TH AVE,SEATTLE,WA"
1631,27,2016,NonResidential,Other,King County Correctional Facility,3,DOWNTOWN,1985,1.0,19.0,385274,0,385274,OTHER,Other,385274.0,,124.1999969,128.6000061,229.5,232.9,47859812.0,49539212.0,0.0,5351014.5,18257661.0,296021.5,29602150.0,1699.45,4.41,False,Compliant,98104.0,47.60378,-122.32842,500 5TH AVE,Seattle,WA,NC,"500 5TH AVE,Seattle,WA"
20,28,2015,SPS-District K-12,Education,GRAHAM HILL ELEMENTARY SCHOOL (SPS-DISTRICT),2,SOUTHEAST,1961,1.0,2.0,56228,0,56228,K-12 SCHOOL,K-12 School,58320.0,96.0,25.1,29.6,59.2,63.9,1454222.0,1716043.0,0.0,267181.0,911659.0,5426.0,542600.0,35.17,0.56,Yes,Compliant,18800.0,47.545759999999994,-122.2685843,5101 S GRAHAM ST,SEATTLE,WA,A+,"5101 S GRAHAM ST,SEATTLE,WA"
1632,28,2016,SPS-District K-12,Education,Graham Hill Elementary,2,SOUTHEAST,1961,1.0,2.0,56228,0,56228,K-12 SCHOOL,K-12 School,58916.0,95.0,26.10000038,29.10000038,60.7,64.6,1539478.5,1713623.5,0.0,274605.9063,936955.0,6025.229004,602523.0,38.53,0.69,True,Error - Correct Default Data,98118.0,47.545759999999994,-122.26853,5149 S. Graham St.,Seattle,WA,A+,"5149 S. Graham St.,Seattle,WA"
21,29,2015,NonResidential,Hotel,WATERTOWN HOTEL,4,NORTHEAST,2001,1.0,6.0,88592,30586,58006,"HOTEL, PARKING",Hotel,58006.0,85.0,66.9,66.3,151.5,149.7,3880806.0,3848493.0,0.0,660802.0,2254751.0,16261.0,1626149.0,102.08,1.04,No,Compliant,18383.0,47.65959,-122.3173925,4242 ROOSEVELT WAY NE,SEATTLE,WA,A+,"4242 ROOSEVELT WAY NE,SEATTLE,WA"
1633,29,2016,NonResidential,Hotel,WATERTOWN HOTEL,4,NORTHEAST,2001,1.0,6.0,88592,30586,58006,"HOTEL, PARKING",Hotel,58006.0,84.0,63.20000076,63.29999924,148.0,148.5,3663534.5,3673186.75,0.0,664194.375,2266231.0,13973.03027,1397303.0,90.01,1.02,False,Compliant,98105.0,47.65959,-122.31755,4242 ROOSEVELT WAY NE,Seattle,WA,A+,"4242 ROOSEVELT WAY NE,Seattle,WA"
22,30,2015,NonResidential,Education,Cornish (Main Campus Center),7,DOWNTOWN,1928,1.0,7.0,126593,0,126593,COLLEGE/UNIVERSITY,College/University,125000.0,,78.3,90.9,158.9,172.1,9791557.0,11360926.0,0.0,1343046.0,4582663.0,52091.0,5209084.0,308.6,2.28,No,Compliant,19576.0,47.618159999999996,-122.3369292,1000 LENORA ST,SEATTLE,WA,NC,"1000 LENORA ST,SEATTLE,WA"
1634,30,2016,NonResidential,Education,Main Campus Center,7,DOWNTOWN,1928,1.0,7.0,126593,0,126593,COLLEGE/UNIVERSITY,College/University,125000.0,,90.69999695,97.5,173.0,180.0,11343686.0,12183313.0,0.0,1362096.75,4647474.0,66962.10938,6696211.0,388.04,3.07,False,Compliant,98121.0,47.618159999999996,-122.33628999999999,1000 Lenora St.,Seattle,WA,NC,"1000 Lenora St.,Seattle,WA"
23,31,2015,NonResidential,Other,SEATTLE HONDA,7,DOWNTOWN,1930,1.0,2.0,67224,0,67224,AUTOMOBILE DEALERSHIP,Automobile Dealership,67224.0,,20.7,20.7,64.9,64.9,1388717.0,1388717.0,0.0,407010.0,1388775.0,0.0,0.0,9.68,0.06,No,Compliant,18081.0,47.615,-122.33040102,1017 OLIVE WAY,SEATTLE,WA,NC,"1017 OLIVE WAY,SEATTLE,WA"
1635,31,2016,NonResidential,Other,Seattle Honda,7,DOWNTOWN,1930,1.0,2.0,67224,0,67224,AUTOMOBILE DEALERSHIP,Automobile Dealership,67224.0,,19.5,19.5,61.2,61.2,1310236.625,1310236.625,0.0,384008.3125,1310236.0,0.0,0.0,9.13,0.14,False,Compliant,98101.0,47.615,-122.33081000000001,1015 & 1017 Olive Way,Seattle,WA,NC,"1015 & 1017 Olive Way,Seattle,WA"
24,32,2015,NonResidential,Hotel,HOMEWOOD SUITES -SEATTLE - Hilton,7,EAST,1991,1.0,8.0,158676,30301,128375,"HOTEL, PARKING, RETAIL STORE, SWIMMING POOL",Hotel,112676.0,,44.0,46.3,55.7,58.1,5159342.0,5421759.0,0.0,156133.0,532747.0,46266.0,4626617.0,249.43,1.56,No,Compliant,18081.0,47.613009999999996,-122.32923126,1011 PIKE ST,SEATTLE,WA,NC,"1011 PIKE ST,SEATTLE,WA"
1636,32,2016,NonResidential,Hotel,Homewood Suites,7,EAST,1991,1.0,8.0,158676,30301,128375,"HOTEL, PARKING, RETAIL STORE, SWIMMING POOL",Hotel,112676.0,,45.5,46.29999924,58.0,58.8,5328051.5,5424942.0,0.0,167733.5,572307.0,47557.44922,4755745.0,256.57,1.62,False,Compliant,98101.0,47.613009999999996,-122.32928999999999,1011 Pike ST,Seattle,WA,NC,"1011 Pike ST,Seattle,WA"
25,33,2015,NonResidential,Hotel,SPRINGHILL SUITES SEATTLE DOWNTOWN,7,DOWNTOWN,2001,1.0,10.0,171866,38281,133585,HOTEL,Hotel,128909.0,20.0,85.5,86.7,183.3,180.9,11026945.0,11178456.0,0.0,1689143.0,5763595.0,52636.0,5263590.0,319.73,1.72,Yes,Compliant,18081.0,47.61784,-122.33005445,1800 YALE AVE,SEATTLE,WA,D,"1800 YALE AVE,SEATTLE,WA"
1637,33,2016,NonResidential,Hotel,Marriott Springhill Suites (33),7,DOWNTOWN,2001,1.0,10.0,171866,38281,133585,HOTEL,Hotel,128909.0,57.0,85.80000305,86.69999695,181.1,180.6,11061916.0,11171407.0,0.0,1644403.75,5610706.0,54512.09766,5451210.0,328.63,1.91,False,Compliant,98101.0,47.61784,-122.32966,1800 Yale Ave,Seattle,WA,B,"1800 Yale Ave,Seattle,WA"
26,34,2015,SPS-District K-12,Education,MEANY MIDDLE SCHOOL (SPS-DISTRICT),3,CENTRAL,1955,1.0,1.0,126351,0,126351,K-12 SCHOOL,K-12 School,126351.0,57.0,49.7,64.4,84.2,102.4,6283226.0,8131874.0,0.0,566538.0,1933106.0,43502.0,4350200.0,244.51,1.87,No,Compliant,18789.0,47.622659999999996,-122.3053887,300 20TH AVE E,SEATTLE,WA,B,"300 20TH AVE E,SEATTLE,WA"
1638,34,2016,SPS-District K-12,Education,Meany Building,3,CENTRAL,1955,1.0,1.0,126351,0,126351,K-12 SCHOOL,K-12 School,126351.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,Missing Data,98112.0,47.622659999999996,-122.30547,301/300 21st Ave. E.,Seattle,WA,NC,"301/300 21st Ave. E.,Seattle,WA"
27,35,2015,NonResidential,Hotel,Hotel Five,7,DOWNTOWN,1978,1.0,5.0,68410,16200,52210,HOTEL,Hotel,47994.0,60.0,90.5,90.5,194.1,194.1,4341706.0,4341706.0,0.0,667101.0,2276244.0,20656.0,2065556.0,125.57,1.69,No,Compliant,19576.0,47.61558,-122.34197968,2200 5TH AVE,SEATTLE,WA,B,"2200 5TH AVE,SEATTLE,WA"
1639,35,2016,NonResidential,Hotel,Hotel Five,7,DOWNTOWN,1978,1.0,5.0,68410,16200,52210,HOTEL,Hotel,47994.0,57.0,92.90000153,95.0,199.7,206.3,4456714.5,4557974.0,0.0,687675.625,2346349.0,21103.65039,2110365.0,128.44,1.88,False,Compliant,98121.0,47.61558,-122.34186000000001,2200 5th ave,Seattle,WA,B,"2200 5th ave,Seattle,WA"
28,36,2015,SPS-District K-12,Education,JANE ADAMS JUNIOR HIGH (SPS-DISTRICT),5,NORTH,1949,1.0,2.0,160645,0,160645,K-12 SCHOOL,K-12 School,164229.0,80.0,38.9,50.9,62.6,77.2,6387710.0,8362498.0,0.0,501058.0,1709681.0,46781.0,4678100.0,260.37,1.58,Yes,Compliant,19579.0,47.70994,-122.29379175,11031 34TH AVE NE,SEATTLE,WA,A,"11031 34TH AVE NE,SEATTLE,WA"
1640,36,2016,SPS-District K-12,Education,Jane Addams Middle,5,NORTH,1949,1.0,2.0,160645,0,160645,K-12 SCHOOL,K-12 School,164229.0,75.0,41.29999924,47.5,68.1,75.7,6779173.0,7800349.5,0.0,570809.1875,1947601.0,48315.71875,4831572.0,270.18,1.68,True,Error - Correct Default Data,98125.0,47.70994,-122.29301000000001,11051 34th Ave. N.E.,Seattle,WA,A,"11051 34th Ave. N.E.,Seattle,WA"
